,Museus,Sites
0,Casa Do Velho Chico,http://casadovelhochico.com.br
1,Herbário MAC,http://www.ima.al.gov.br/herbario/
2,Espaço de Memória Artesão Fernando Rodrigues dos Santos,http://www.uneal.edu.br/museus/MuseuIlhadoFerro
3,Espaço de Memória Artesã Irinéia Rosa Nunes da Silva,http://www.uneal.edu.br/museumuquem
4,Museu Coronel Carlos Benigno Pereira de Lyra,http://www.casadopenedo.com.br
5,Usina Ciência - Universidade Federal de Alagoas,http://www.usinaciencia.ufal.br
6,Casa da Cultura Coruripense Dona Maria Alice Beltrão Siqueira,http://casadaculturacoruripense.blogspot.com
7,Ecomuseu Comunitário Graciliano é uma Graça,http://www.gracilianoeumagraca.al.org.br
8,Museu da Polícia Militar do Estado de Alagoas,http://www.pm.al.gov.br
9,Casa da Palavra,http://www.casadapalavra.maceio.com.br
10,Parque Memorial Quilombo dos Palmares,http://serradabarriga.palmares.gov.br/
11,Museu do Comércio de Alagoas,http://www.o-palacio.com
12,Museu Théo Brandão de Antropologia e Folclore,http://www.mtb.ufal.br/inicial/
13,Ponto de Memória Cultural Museológico e Histórico de Pedro Teixeira (Identidade Cultural),http://chapreaascumpet.comunidades.net
14,Memorial Pontes de Miranda da Justiça do Trabalho em Alagoas,http://www.trt19.jus.br/portalTRT19/conteudo/43
15,Pinacoteca Universitária da Universidade Federal de Alagoas,http://www.ufal.br/pinacoteca
16,Museu do Instituto Histórico e Geográfico de Alagoas,http://www.ihgal.al.gov.br
17,Museu Histórico e Cultural Fernando Lopes,http://www.casadaculturasmc.hd1.com.br
18,Museu Manoel da Marinheira,http://www.aguasdesaobento.com.br
19,Centro Cultural João Ferreira da Silva,http://www.centroculturalpbu.blogspot.com
20,Museu do Sertão (Piranhas),http://www.piranhas-al.com.br
21,Memorial René Bertholet,http://www.cooperativapindorama.com.br
22,Museu Coleção Karandash de Arte Popular e Contemporânea,http://www.karandash.com.br
23,Memorial Coruripense,http://museucocuripense.blogspot.com.br
24,Museu da Casa do Penedo,http://www.casadopenedo.com.br
25,Museu dos Esportes Lauthenay Perdigão,http://www.museudosesportes.blogspot.com
26,Memorial Desembargador Hélio Cabral do Ministério Público de Alagoas,https://www.mpal.mp.br/memorial-desembargador-helio-cabral/
27,Memorial Arnon de Mello,http://gazetaweb.globo.com/v2/iam/
28,Memorial Teotônio Vilela,http://www.cultura.al.gov.br/institucional/espaco-da-secult/memorial-teotonio-vilela
29,Memorial à República,http://www.cultura.al.gov.br/institucional/espaco-da-secult/memorial-a-republica
30,Museu Palácio Floriano Peixoto - MUPA,http://www.cultura.al.gov.br/institucional/espaco-da-secult/mupa-museu-palacio
